"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2024","159.88","154.64","160.20","153.82","1.11M","3.58%"
"10/27/2024","154.35","157.08","157.20","153.70","863.62K","-1.15%"
"10/20/2024","156.15","158.07","158.23","155.08","1.58M","-1.42%"
"10/13/2024","158.40","157.73","158.74","156.75","642.43K","0.55%"
"10/06/2024","157.54","155.86","157.71","154.77","751.48K","0.77%"
"09/29/2024","156.34","156.43","157.03","154.38","1.04M","-0.18%"
"09/22/2024","156.62","155.51","157.38","155.21","1.19M","0.97%"
"09/15/2024","155.11","153.24","156.16","152.79","1.78M","1.29%"
"09/08/2024","153.14","149.05","153.38","147.55","1.30M","3.65%"
"09/01/2024","147.75","153.26","153.30","147.48","1.13M","-4.17%"
"08/25/2024","154.18","153.93","154.29","152.04","825.41K","0.25%"
"08/18/2024","153.80","151.08","153.89","151.06","1.10M","2.05%"
"08/11/2024","150.71","145.17","150.90","144.44","909.14K","3.92%"
"08/04/2024","145.03","138.72","145.25","138.39","1.55M","0.28%"
"07/28/2024","144.62","148.62","150.70","143.38","1.66M","-2.37%"
"07/21/2024","148.13","150.37","151.05","146.11","1.11M","-0.70%"
"07/14/2024","149.18","152.86","153.42","149.04","1.41M","-2.11%"
"07/07/2024","152.40","150.68","153.34","150.15","1.43M","1.26%"
"06/30/2024","150.50","148.04","150.52","147.14","682.90K","2.04%"
"06/23/2024","147.49","147.49","148.86","147.07","925.04K","0.18%"
"06/16/2024","147.23","146.38","148.32","146.17","620.25K","0.44%"
"06/09/2024","146.58","146.72","148.14","144.81","1.23M","-0.31%"
"06/02/2024","147.03","146.33","147.82","144.84","960.39K","0.91%"
"05/26/2024","145.71","146.61","146.68","143.78","1.23M","-0.41%"
"05/19/2024","146.31","146.87","147.40","145.01","493.88K","-0.29%"
"05/12/2024","146.73","144.79","147.04","144.08","899.48K","1.63%"
"05/05/2024","144.38","142.54","144.83","142.48","628.06K","1.83%"
"04/28/2024","141.78","141.26","142.06","138.58","637.81K","0.70%"
"04/21/2024","140.80","138.07","141.02","137.58","1.51M","2.54%"
"04/14/2024","137.31","142.25","142.34","136.93","847.03K","-2.61%"
"04/07/2024","140.99","144.00","144.41","140.68","891.87K","-1.79%"
"03/31/2024","143.56","144.80","145.19","142.29","779.75K","-0.93%"
"03/24/2024","144.91","143.96","145.15","143.76","1.41M","0.35%"
"03/17/2024","144.40","142.65","145.10","141.74","970.64K","1.88%"
"03/10/2024","141.74","141.57","143.36","140.98","796.43K","-0.24%"
"03/03/2024","142.08","141.33","143.61","139.72","881.42K","0.38%"
"02/25/2024","141.54","140.33","141.60","139.46","1.38M","0.86%"
"02/18/2024","140.33","137.95","140.73","136.83","871.12K","1.66%"
"02/11/2024","138.04","137.97","138.85","135.14","990.77K","0.10%"
"02/04/2024","137.90","136.12","138.00","135.15","630.44K","1.06%"
"01/28/2024","136.45","135.16","136.74","134.11","1.10M","1.02%"
"01/21/2024","135.07","134.06","135.45","133.57","1.26M","1.08%"
"01/14/2024","133.63","132.24","133.63","130.48","1.36M","0.53%"
"01/07/2024","132.93","131.09","133.60","131.03","1.27M","1.58%"
