"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2026","334.78","338.09","339.31","330.89","17.95M","-4.91%"
"03/02/2026","352.05","343.79","352.33","343.34","7.28M","-0.07%"
"02/27/2026","352.29","349.60","354.03","348.34","6.25M","-1.26%"
"02/26/2026","356.80","366.38","366.48","350.41","13.33M","-3.04%"
"02/25/2026","368.00","366.20","368.82","365.51","4.54M","1.65%"
"02/24/2026","362.04","361.60","364.74","358.04","6.21M","1.46%"
"02/23/2026","356.82","357.57","360.38","352.85","6.34M","-0.73%"
"02/20/2026","359.43","353.59","361.33","352.80","6.01M","1.01%"
"02/19/2026","355.84","354.17","356.32","351.77","5.58M","-0.58%"
"02/18/2026","357.92","355.82","361.67","353.60","5.68M","1.08%"
"02/17/2026","354.10","349.80","357.10","345.32","4.07M","-0.16%"
"02/13/2026","354.66","352.80","357.61","348.67","5.96M","0.90%"
"02/12/2026","351.50","363.45","365.38","351.05","9.49M","-2.42%"
"02/11/2026","360.20","358.82","362.28","351.40","7.50M","2.50%"
"02/10/2026","351.43","353.52","355.04","348.12","6.25M","-0.38%"
"02/09/2026","352.77","344.84","354.74","343.88","7.09M","1.22%"
"02/06/2026","348.51","337.39","349.56","335.87","9.10M","5.34%"
"02/05/2026","330.83","326.54","335.47","324.04","10.41M","0.14%"
"02/04/2026","330.38","342.18","345.39","323.33","15.23M","-4.42%"
"02/03/2026","345.64","355.90","357.12","338.09","8.37M","-2.00%"
"02/02/2026","352.69","342.37","356.11","341.90","7.76M","1.85%"
"01/30/2026","346.30","356.00","360.19","343.71","8.72M","-4.11%"
"01/29/2026","361.13","361.18","363.80","347.72","8.45M","0.19%"
"01/28/2026","360.46","358.53","362.04","356.71","5.36M","2.67%"
"01/27/2026","351.08","348.16","353.20","346.65","5.29M","2.33%"
"01/26/2026","343.07","343.29","345.50","341.13","4.46M","-0.48%"
"01/23/2026","344.71","346.39","348.03","342.17","4.34M","-1.14%"
"01/22/2026","348.67","354.36","354.60","347.37","4.66M","0.15%"
"01/21/2026","348.14","341.84","351.33","340.30","7.20M","3.20%"
"01/20/2026","337.35","336.20","343.19","335.96","6.23M","-1.50%"
"01/16/2026","342.47","343.51","345.41","340.22","5.13M","1.56%"
"01/15/2026","337.22","343.10","344.55","337.22","6.53M","1.60%"
"01/14/2026","331.90","331.03","331.99","327.17","5.47M","-0.42%"
"01/13/2026","333.30","332.85","336.42","331.89","3.84M","0.89%"
"01/12/2026","330.35","325.70","331.38","325.53","5.16M","0.48%"
"01/09/2026","328.78","322.80","330.67","321.11","7.32M","2.88%"
"01/08/2026","319.58","324.19","324.19","316.40","5.41M","-1.63%"
"01/07/2026","324.89","325.05","325.95","322.11","4.53M","-1.05%"
"01/06/2026","328.35","322.07","329.15","322.00","7.58M","3.24%"
"01/05/2026","318.06","320.70","322.64","316.88","7.92M","1.39%"
"01/02/2026","313.69","308.56","315.81","308.56","8.49M","4.16%"
