"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","1,167.00","1,298.00","1,298.00","1,298.00","","-13.81%"
"11/24/2024","1,354.00","1,529.00","1,529.00","1,529.00","","-11.91%"
"11/17/2024","1,537.00","1,756.00","1,756.00","1,756.00","","-13.89%"
"11/10/2024","1,785.00","1,558.00","1,785.00","1,558.00","","19.40%"
"11/03/2024","1,495.00","1,374.00","1,495.00","1,374.00","","8.49%"
"10/27/2024","1,378.00","1,382.00","1,402.00","1,378.00","","-2.27%"
"10/20/2024","1,410.00","1,546.00","1,546.00","1,410.00","","-10.53%"
"10/13/2024","1,576.00","1,814.00","1,814.00","1,576.00","","-12.88%"
"10/06/2024","1,809.00","1,907.00","1,907.00","1,790.00","","-6.17%"
"09/29/2024","1,928.00","2,084.00","2,084.00","1,928.00","","-8.63%"
"09/22/2024","2,110.00","1,999.00","2,110.00","1,999.00","","6.73%"
"09/15/2024","1,977.00","1,896.00","1,977.00","1,890.00","","4.60%"
"09/08/2024","1,890.00","1,958.00","1,963.00","1,890.00","","-2.63%"
"09/01/2024","1,941.00","1,919.00","1,947.00","1,902.00","","7.00%"
"08/25/2024","1,814.00","1,721.00","1,827.00","1,721.00","","2.95%"
"08/18/2024","1,762.00","1,708.00","1,768.00","1,708.00","","4.20%"
"08/11/2024","1,691.00","1,655.00","1,728.00","1,655.00","","1.26%"
"08/04/2024","1,670.00","1,677.00","1,698.00","1,670.00","","-0.30%"
"07/28/2024","1,675.00","1,797.00","1,797.00","1,668.00","","-7.36%"
"07/21/2024","1,808.00","1,896.00","1,896.00","1,808.00","","-4.94%"
"07/14/2024","1,902.00","1,993.00","1,993.00","1,890.00","","-4.76%"
"07/07/2024","1,997.00","1,940.00","1,997.00","1,894.00","","1.58%"
"06/30/2024","1,966.00","2,158.00","2,179.00","1,966.00","","-4.10%"
"06/23/2024","2,050.00","1,973.00","2,050.00","1,926.00","","2.65%"
"06/16/2024","1,997.00","1,948.00","1,948.00","1,948.00","","2.52%"
"06/09/2024","1,948.00","1,883.00","1,883.00","1,883.00","","3.56%"
"06/02/2024","1,881.00","1,808.00","1,808.00","1,808.00","","3.64%"
"05/26/2024","1,815.00","1,784.00","1,784.00","1,784.00","","1.00%"
"05/19/2024","1,797.00","1,847.00","1,847.00","1,847.00","","-2.55%"
"05/12/2024","1,844.00","1,889.00","1,889.00","1,889.00","","-13.39%"
"05/05/2024","2,129.00","2,203.00","2,203.00","2,203.00","","13.49%"
"04/28/2024","1,876.00","1,684.00","1,684.00","1,684.00","","9.01%"
"04/21/2024","1,721.00","1,882.00","1,882.00","1,882.00","","-10.32%"
"04/14/2024","1,919.00","1,730.00","1,730.00","1,730.00","","10.99%"
"04/07/2024","1,729.00","1,594.00","1,594.00","1,594.00","","6.20%"
"03/31/2024","1,628.00","1,714.00","1,714.00","1,714.00","","-10.60%"
"03/24/2024","1,821.00","2,123.00","2,123.00","2,123.00","","-17.08%"
"03/17/2024","2,196.00","2,419.00","2,419.00","2,419.00","","-7.50%"
"03/10/2024","2,374.00","2,377.00","2,377.00","2,377.00","","1.24%"
"03/03/2024","2,345.00","2,297.00","2,297.00","2,297.00","","6.45%"
"02/25/2024","2,203.00","1,871.00","1,871.00","1,871.00","","18.06%"
"02/18/2024","1,866.00","1,629.00","1,629.00","1,629.00","","15.90%"
"02/11/2024","1,610.00","1,572.00","1,572.00","1,572.00","","4.21%"
"02/04/2024","1,545.00","1,436.00","1,436.00","1,436.00","","9.81%"
"01/28/2024","1,407.00","1,460.00","1,460.00","1,460.00","","-7.31%"
"01/21/2024","1,518.00","1,518.00","1,518.00","1,518.00","","1.00%"
"01/14/2024","1,503.00","1,360.00","1,360.00","1,360.00","","2.95%"
"01/07/2024","1,460.00","2,022.00","2,022.00","2,022.00","","-30.81%"
"12/31/2023","2,110.00","2,093.00","2,093.00","2,093.00","","0.76%"
"12/17/2023","2,094.00","2,288.00","2,288.00","2,288.00","","-10.82%"
"12/10/2023","2,348.00","2,509.00","2,509.00","2,509.00","","-5.44%"
"12/03/2023","2,483.00","3,346.00","3,346.00","3,346.00","","-22.21%"
"11/26/2023","3,192.00","2,391.00","2,391.00","2,391.00","","51.86%"
"11/19/2023","2,102.00","1,817.00","1,817.00","1,817.00","","15.49%"
"11/12/2023","1,820.00","1,655.00","1,655.00","1,655.00","","10.77%"
"11/05/2023","1,643.00","1,523.00","1,523.00","1,523.00","","12.38%"
"10/29/2023","1,462.00","1,502.00","1,502.00","1,502.00","","-6.46%"
"10/22/2023","1,563.00","1,949.00","1,949.00","1,949.00","","-23.61%"
"10/15/2023","2,046.00","1,972.00","1,972.00","1,972.00","","5.19%"
"10/08/2023","1,945.00","1,991.00","1,991.00","1,991.00","","0.83%"
