"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","175.42","177.12","177.33","175.00","1.41M","-1.47%"
"03/26/2026","178.04","179.71","180.55","177.89","1.25M","-1.74%"
"03/25/2026","181.19","181.76","182.22","180.59","367.76K","0.75%"
"03/24/2026","179.85","179.01","180.75","178.66","287.29K","-0.38%"
"03/23/2026","180.54","180.87","182.53","179.89","505.12K","1.43%"
"03/20/2026","178.00","180.80","180.89","177.01","430.47K","-1.85%"
"03/19/2026","181.36","179.85","182.16","179.60","537.62K","-0.23%"
"03/18/2026","181.77","183.77","184.09","181.71","399.73K","-1.47%"
"03/17/2026","184.49","184.97","185.45","184.38","162.68K","0.24%"
"03/16/2026","184.04","183.62","184.68","183.38","318.37K","1.26%"
"03/13/2026","181.75","183.78","184.70","181.47","299.65K","-0.76%"
"03/12/2026","183.15","184.43","184.63","183.13","484.40K","-1.54%"
"03/11/2026","186.02","186.06","186.80","185.15","320.88K","-0.18%"
"03/10/2026","186.36","186.79","188.35","185.80","1.09M","-0.05%"
"03/09/2026","186.45","182.97","186.91","181.76","1.06M","0.79%"
"03/06/2026","184.98","184.49","186.06","183.81","722.32K","-1.13%"
"03/05/2026","187.09","187.39","188.30","185.35","931.42K","-0.92%"
"03/04/2026","188.82","187.94","189.17","187.23","920.55K","0.86%"
"03/03/2026","187.21","185.38","187.80","183.76","514.76K","-1.56%"
"03/02/2026","190.18","188.22","190.65","188.02","531.45K","-0.35%"
"02/27/2026","190.84","190.35","191.18","190.05","595.62K","-0.44%"
"02/26/2026","191.68","192.44","192.44","190.33","418.30K","-0.36%"
"02/25/2026","192.37","191.55","192.53","191.54","539.13K","0.84%"
"02/24/2026","190.77","189.21","190.99","189.00","187.94K","0.67%"
"02/23/2026","189.50","190.91","191.43","189.04","257.50K","-0.88%"
"02/20/2026","191.19","189.33","191.41","189.24","257.85K","0.68%"
"02/19/2026","189.89","189.46","190.10","189.13","172.56K","-0.27%"
"02/18/2026","190.41","189.85","191.17","189.49","208.00K","0.50%"
"02/17/2026","189.46","188.53","189.95","187.50","252.88K","0.03%"
"02/13/2026","189.40","189.01","190.34","188.24","333.74K","0.20%"
"02/12/2026","189.02","192.37","192.53","188.85","558.31K","-1.46%"
"02/11/2026","191.83","192.77","192.84","190.87","257.29K","0.12%"
"02/10/2026","191.60","192.21","192.54","191.48","310.45K","-0.13%"
"02/09/2026","191.84","190.28","192.10","190.01","291.47K","0.84%"
"02/06/2026","190.24","187.85","190.47","187.85","570.32K","2.03%"
"02/05/2026","186.46","187.41","188.15","186.13","612.54K","-1.33%"
"02/04/2026","188.98","190.10","190.31","187.89","417.59K","-0.24%"
"02/03/2026","189.44","190.74","190.81","187.94","384.71K","-0.64%"
"02/02/2026","190.66","189.26","190.95","189.26","776.11K","0.54%"
"01/30/2026","189.63","190.03","190.42","188.47","992.31K","-0.61%"
"01/29/2026","190.80","191.49","191.56","188.41","450.61K","0.01%"
"01/28/2026","190.79","191.15","191.40","190.29","163.34K","-0.26%"
"01/27/2026","191.29","190.61","191.46","190.61","210.06K","0.73%"
"01/26/2026","189.91","189.47","190.31","189.47","278.58K","0.56%"
"01/23/2026","188.86","188.39","189.12","188.02","502.52K","0.16%"
"01/22/2026","188.56","188.86","189.13","188.14","1.32M","0.48%"
"01/21/2026","187.66","186.35","188.54","185.86","502.97K","1.09%"
"01/20/2026","185.64","186.61","187.39","185.49","411.34K","-1.89%"
"01/16/2026","189.21","189.65","189.81","188.76","249.80K","-0.02%"
"01/15/2026","189.25","190.00","190.07","189.08","246.77K","0.17%"
"01/14/2026","188.93","189.01","189.28","188.04","232.31K","-0.32%"
"01/13/2026","189.53","190.06","190.09","188.95","260.87K","-0.27%"
"01/12/2026","190.05","189.03","190.13","189.03","638.37K","0.27%"
"01/09/2026","189.53","188.70","189.77","188.31","650.02K","0.69%"
"01/08/2026","188.24","187.94","188.33","187.65","490.39K","0.01%"
"01/07/2026","188.22","188.88","189.24","188.14","314.56K","-0.40%"
"01/06/2026","188.98","188.13","189.08","188.08","466.21K","0.52%"
"01/05/2026","188.01","187.33","188.32","187.33","508.81K","0.80%"
"01/02/2026","186.51","187.21","187.23","185.59","307.48K","0.40%"
