"","Date","Price","Open","High","Low","Vol.","Return"
"204",2019-12-08,1355,"1,551.00","1,551.00","1,355.00",NA,-13.03
"205",2019-12-15,1123,"1,315.00","1,315.00","1,123.00",NA,-17.12
"206",2019-12-22,1090,"1,103.00","1,103.00","1,090.00",NA,-2.94
"207",2019-12-29,907,"976.00","976.00","907.00",NA,-16.79
"208",2020-01-05,774,"844.00","844.00","772.00",NA,-14.66
"209",2020-01-12,754,"765.00","768.00","754.00",NA,-2.58
"210",2020-01-19,557,"729.00","729.00","557.00",NA,-26.13
"211",2020-01-26,487,"546.00","546.00","487.00",NA,-12.57
"212",2020-02-02,415,"466.00","466.00","415.00",NA,-14.78
"213",2020-02-09,425,"411.00","425.00","411.00",NA,2.41
"214",2020-02-16,497,"434.00","497.00","434.00",NA,16.94
"215",2020-02-23,535,"506.00","535.00","506.00",NA,7.65
"216",2020-03-01,617,"539.00","617.00","539.00",NA,15.33
"217",2020-03-08,631,"616.00","633.00","616.00",NA,2.27
"218",2020-03-15,625,"623.00","630.00","612.00",NA,-0.95
"219",2020-03-22,556,"617.00","617.00","556.00",NA,-11.04
"220",2020-03-29,616,"548.00","626.00","548.00",NA,10.79
"221",2020-04-05,635,"604.00","635.00","596.00",NA,3.08
"222",2020-04-12,751,"679.00","751.00","679.00",NA,18.27
"223",2020-04-19,665,"757.00","757.00","665.00",NA,-11.45
"224",2020-04-26,617,"661.00","661.00","617.00",NA,-7.22
"225",2020-05-03,514,"598.00","598.00","514.00",NA,-16.69
"226",2020-05-10,407,"474.00","474.00","393.00",NA,-20.82
"227",2020-05-17,498,"427.00","498.00","427.00",NA,22.36
"228",2020-05-24,504,"506.00","506.00","489.00",NA,1.2
"229",2020-05-31,679,"520.00","679.00","520.00",NA,34.72
"230",2020-06-07,923,"698.00","923.00","698.00",NA,35.94
"231",2020-06-14,1555,"973.00","1,555.00","973.00",NA,68.47
"232",2020-06-21,1749,"1,558.00","1,749.00","1,558.00",NA,12.48
"233",2020-06-28,1894,"1,794.00","1,894.00","1,794.00",NA,8.29
"234",2020-07-05,1810,"1,956.00","1,956.00","1,810.00",NA,-4.44
"235",2020-07-12,1710,"1,792.00","1,792.00","1,696.00",NA,-5.52
"236",2020-07-19,1317,"1,678.00","1,678.00","1,317.00",NA,-22.98
"237",2020-07-26,1350,"1,293.00","1,350.00","1,264.00",NA,2.51
"238",2020-08-02,1501,"1,385.00","1,501.00","1,385.00",NA,11.19
"239",2020-08-09,1595,"1,506.00","1,595.00","1,506.00",NA,6.26
"240",2020-08-16,1481,"1,598.00","1,598.00","1,481.00",NA,-7.15
"241",2020-08-23,1488,"1,491.00","1,518.00","1,488.00",NA,0.47
"242",2020-08-30,1362,"1,471.00","1,471.00","1,362.00",NA,-8.47
"243",2020-09-06,1267,"1,349.00","1,349.00","1,267.00",NA,-6.98
"244",2020-09-13,1296,"1,282.00","1,296.00","1,281.00",NA,2.29
"245",2020-09-20,1667,"1,314.00","1,667.00","1,314.00",NA,28.63
"246",2020-09-27,2020,"1,654.00","2,020.00","1,654.00",NA,21.18
"247",2020-10-04,1892,"2,071.00","2,097.00","1,892.00",NA,-6.34
"248",2020-10-11,1477,"1,807.00","1,807.00","1,477.00",NA,-21.93
"249",2020-10-18,1415,"1,409.00","1,415.00","1,346.00",NA,-4.2
"250",2020-10-25,1283,"1,402.00","1,413.00","1,283.00",NA,-9.33
"251",2020-11-01,1196,"1,284.00","1,284.00","1,194.00",NA,-6.78
"252",2020-11-08,1115,"1,207.00","1,207.00","1,124.00",NA,-6.77
"253",2020-11-15,1148,"1,111.00","1,148.00","1,111.00",NA,2.96
"254",2020-11-22,1230,"1,169.00","1,230.00","1,169.00",NA,7.14
"255",2020-11-29,1197,"1,227.00","1,227.00","1,189.00",NA,-2.68
"256",2020-12-06,1211,"1,162.00","1,211.00","1,121.00",NA,1.17
"257",2020-12-13,1325,"1,235.00","1,325.00","1,235.00",NA,9.41
"258",2020-12-20,1366,"1,323.00","1,366.00","1,323.00",NA,3.09
"259",2021-01-03,1606,"1,374.00","1,606.00","1,374.00",NA,17.57
"260",2021-01-10,1754,"1,761.00","1,856.00","1,754.00",NA,9.22
"261",2021-01-17,1810,"1,740.00","1,837.00","1,740.00",NA,3.19
"262",2021-01-24,1452,"1,765.00","1,765.00","1,452.00",NA,-19.78
"263",2021-01-31,1333,"1,444.00","1,444.00","1,327.00",NA,-8.2
"264",2021-02-07,1339,"1,317.00","1,339.00","1,303.00",NA,0.45
"265",2021-02-14,1698,"1,364.00","1,770.00","1,364.00",NA,26.81
"266",2021-02-21,1675,"1,709.00","1,727.00","1,675.00",NA,-1.35
"267",2021-02-28,1829,"1,651.00","1,829.00","1,651.00",NA,9.19
"268",2021-03-07,1960,"1,853.00","1,980.00","1,853.00",NA,7.16
"269",2021-03-14,2281,"1,983.00","2,281.00","1,983.00",NA,16.38
"270",2021-03-21,2178,"2,319.00","2,319.00","2,172.00",NA,-4.52
"271",2021-03-28,2072,"2,162.00","2,162.00","2,046.00",NA,-4.87
"272",2021-04-04,2085,"2,092.00","2,127.00","2,085.00",NA,0.63
