"","Date","Price","Open","High","Low","Vol.","Return"
"205",2019-12-01,97.1," 96.88"," 97.27"," 94.90","769.55K",0.35
"206",2019-12-08,98.19," 97.03"," 98.50"," 96.45","493.85K",1.12
"207",2019-12-15,98.51," 98.03"," 98.64"," 97.71","979.45K",0.33
"208",2019-12-22,99.07," 98.68"," 99.31"," 98.25","256.47K",0.57
"209",2019-12-29,98.69," 99.08"," 99.57"," 98.21","420.30K",-0.38
"210",2020-01-05,99.44," 98.32"," 99.96"," 98.32","613.75K",0.76
"211",2020-01-12,101.16," 99.72","101.16"," 99.54","475.59K",1.73
"212",2020-01-19,100.06,"100.83","101.10"," 99.68","225.01K",-1.09
"213",2020-01-26,97.73," 97.94"," 99.72"," 97.58","818.19K",-2.33
"214",2020-02-02,100.63," 98.08","101.41"," 98.08","904.88K",2.97
"215",2020-02-09,101.92,"100.62","102.19","100.48","188.05K",1.28
"216",2020-02-16,100.89,"101.72","102.28","100.61","413.12K",-1.01
"217",2020-02-23,89.67," 97.45"," 98.21"," 87.68","2.69M",-11.12
"218",2020-03-01,90.3," 90.68"," 95.15"," 88.50","1.11M",0.7
"219",2020-03-08,79.63," 84.15"," 86.72"," 73.62","1.84M",-11.82
"220",2020-03-15,68.63," 70.13"," 75.11"," 67.58","1.41M",-13.81
"221",2020-03-22,76.62," 69.21"," 79.30"," 66.38","2.81M",11.64
"222",2020-03-29,74.77," 77.01"," 79.19"," 73.93","2.00M",-2.41
"223",2020-04-05,83.02," 77.57"," 83.77"," 77.37","952.12K",11.03
"224",2020-04-12,84.87," 82.66"," 85.14"," 81.46","916.76K",2.23
"225",2020-04-19,83.85," 83.70"," 84.96"," 81.04","671.02K",-1.2
"226",2020-04-26,84.13," 84.44"," 88.09"," 83.76","1.19M",0.33
"227",2020-05-03,87.01," 83.51"," 87.04"," 83.25","1.71M",3.42
"228",2020-05-10,84.87," 86.41"," 87.40"," 82.26","510.15K",-2.46
"229",2020-05-17,87.46," 86.74"," 88.56"," 86.61","580.52K",3.05
"230",2020-05-24,90.7," 89.70"," 91.68"," 88.77","202.13K",3.7
"231",2020-05-31,95.73," 90.82"," 96.16"," 90.71","232.83K",5.55
"232",2020-06-07,91.53," 96.14"," 96.96"," 89.94","549.68K",-4.39
"233",2020-06-14,92.23," 88.79"," 93.79"," 88.50","430.75K",0.76
"234",2020-06-21,90.16," 92.34"," 94.03"," 90.08","317.44K",-2.24
"235",2020-06-28,93.36," 90.68"," 94.32"," 90.16","493.97K",3.55
"236",2020-07-05,94.93," 94.75"," 95.02"," 93.01","387.52K",1.68
"237",2020-07-12,96.25," 95.51"," 96.77"," 93.65","827.64K",1.39
"238",2020-07-19,95.96," 96.24"," 97.76"," 95.59","200.72K",-0.3
"239",2020-07-26,96.65," 96.43"," 97.57"," 95.45","711.42K",0.72
"240",2020-08-02,98.85," 97.37"," 99.22"," 97.19","145.61K",2.28
"241",2020-08-09,99.97," 99.15","100.62"," 98.68","218.23K",1.13
"242",2020-08-16,100.59,"100.41","101.12"," 99.49","407.34K",0.62
"243",2020-08-23,103.32,"101.58","103.40","101.15","350.20K",2.71
"244",2020-08-30,101.15,"103.27","105.13"," 99.12","311.03K",-2.1
"245",2020-09-06,99.39," 99.36","101.50"," 98.66","712.58K",-1.74
"246",2020-09-13,99.51,"100.51","102.00"," 98.93","360.55K",0.12
"247",2020-09-20,97.96," 97.64"," 98.79"," 95.79","882.61K",-1.56
"248",2020-09-27,99.4," 99.28","100.35"," 98.59","303.96K",1.47
"249",2020-10-04,102.9,"100.22","103.00"," 99.78","227.52K",3.52
"250",2020-10-11,102.62,"103.59","104.52","101.44","198.34K",-0.27
"251",2020-10-18,102.34,"103.01","103.26","100.88","247.12K",-0.27
"252",2020-10-25,96.53,"101.14","101.33"," 95.64","648.35K",-5.68
"253",2020-11-01,103.92," 97.60","104.35"," 96.84","376.98K",7.66
"254",2020-11-08,106.68,"107.97","108.27","104.92","348.25K",2.66
"255",2020-11-15,107.06,"107.70","108.10","106.42","251.92K",0.36
"256",2020-11-22,109.56,"107.63","109.71","106.91","290.70K",2.33
"257",2020-11-29,111.42,"109.37","111.42","108.35","1.37M",1.7
"258",2020-12-06,110.47,"111.03","112.03","109.85","1.20M",-0.85
"259",2020-12-13,111.64,"110.70","112.31","109.65","499.91K",1.06
"260",2020-12-20,111.44,"109.91","111.57","109.15","376.37K",-0.18
"261",2020-12-27,112.41,"112.42","112.94","112.00","492.45K",0.87
"262",2021-01-03,115.31,"113.53","115.31","110.62","503.97K",2.58
"263",2021-01-10,113.55,"113.89","115.21","112.98","429.98K",-1.53
"264",2021-01-17,115.35,"114.38","116.11","113.96","342.28K",1.59
"265",2021-01-24,111.49,"115.35","116.00","111.03","821.23K",-3.35
"266",2021-01-31,116.2,"112.49","116.39","112.06","604.66K",4.22
"267",2021-02-07,118.28,"116.89","118.37","116.68","161.11K",1.79
"268",2021-02-14,117.74,"118.90","119.36","116.84","194.44K",-0.46
"269",2021-02-21,114.27,"116.62","118.11","113.93","368.76K",-2.95
"270",2021-02-28,115.05,"115.77","117.16","112.20","245.43K",0.68
"271",2021-03-07,118.11,"115.20","118.44","114.40","503.86K",2.66
"272",2021-03-14,117.59,"118.11","119.36","116.70","664.85K",-0.44
"273",2021-03-21,118.5,"117.52","118.80","115.41","698.99K",0.77
"274",2021-03-28,119.78,"118.04","119.87","117.62","503.43K",1.08
"275",2021-04-04,122.56,"120.57","122.74","120.57","657.48K",2.32
"276",2021-04-11,124.44,"122.47","124.66","122.11","554.31K",1.53
"277",2021-04-18,124.22,"124.36","124.61","122.32","421.00K",-0.18
"278",2021-04-25,123.61,"124.47","125.50","123.46","892.80K",-0.49
"279",2021-05-02,125.73,"124.56","125.79","122.14","433.05K",1.72
"280",2021-05-09,124.15,"125.89","125.89","120.75","451.86K",-1.26
"281",2021-05-16,124.18,"123.69","124.88","121.26","551.03K",0.02
"282",2021-05-23,125.6,"124.69","126.05","124.69","489.65K",1.14
"283",2021-05-30,126.58,"126.43","126.67","124.99","377.04K",0.78
"284",2021-06-06,126.44,"126.77","127.05","125.56","183.24K",-0.11
"285",2021-06-13,123.61,"126.45","126.93","123.59","535.17K",-2.24
"286",2021-06-20,126.75,"124.23","126.81","123.96","248.17K",2.54
"287",2021-06-27,127.84,"126.75","127.85","126.30","1.05M",0.86
"288",2021-07-04,128.22,"127.91","128.29","125.87","440.20K",0.3
"289",2021-07-11,126.77,"128.30","128.93","126.71","383.15K",-1.13
"290",2021-07-18,129.19,"125.25","129.27","124.12","626.50K",1.91
"291",2021-07-25,128.83,"129.06","130.00","127.99","545.38K",-0.28
"292",2021-08-01,130.05,"129.67","130.38","128.66","435.55K",0.95
"293",2021-08-08,131.36,"130.26","131.39","129.83","483.47K",1.01
"294",2021-08-15,129.7,"130.84","131.34","127.93","476.40K",-1.26
"295",2021-08-22,131.83,"130.35","131.94","130.35","408.32K",1.64
"296",2021-08-29,133.05,"132.05","133.22","131.92","536.04K",0.93
"297",2021-09-05,131.09,"133.11","133.13","130.95","199.99K",-1.47
"298",2021-09-12,130.16,"132.07","132.13","130.01","637.95K",-0.71
"299",2021-09-19,130.58,"127.96","131.20","126.49","680.69K",0.32
"300",2021-09-26,127.49,"130.25","130.57","125.77","605.21K",-2.37
"301",2021-10-03,128.2,"127.15","129.07","125.27","526.24K",0.56
"302",2021-10-10,131,"128.26","131.07","127.25","318.36K",2.18
"303",2021-10-17,132.74,"130.32","133.11","130.19","355.13K",1.33
"304",2021-10-24,133.84,"132.93","133.93","132.41","289.23K",0.83
"305",2021-10-31,136.36,"134.28","136.71","133.85","1.10M",1.88
"306",2021-11-07,136.03,"136.64","136.75","134.42","543.13K",-0.24
"307",2021-11-14,135.62,"136.44","136.66","135.42","335.17K",-0.3
"308",2021-11-21,132,"136.01","136.47","131.68","724.79K",-2.67
"309",2021-11-28,130.4,"133.41","133.67","129.17","1.37M",-1.21
"310",2021-12-05,134.58,"131.15","135.09","130.28","1.04M",3.21
"311",2021-12-12,131.35,"133.49","134.29","130.80","1.07M",-2.4
"312",2021-12-19,134.48,"130.09","134.83","129.22","1.45M",2.38
"313",2021-12-26,135.32,"134.80","136.41","134.79","685.13K",0.62
"314",2022-01-02,133.19,"135.87","136.69","132.60","1.17M",-1.57
"315",2022-01-09,133,"132.12","135.11","130.41","1.57M",-0.14
"316",2022-01-16,126.19,"131.32","131.60","126.18","1.34M",-5.12
"317",2022-01-23,125.94,"124.29","127.19","121.29","1.47M",-0.2
"318",2022-01-30,128.22,"125.98","130.59","125.66","635.04K",1.81
"319",2022-02-06,126.64,"128.46","131.20","126.19","950.05K",-1.23
"320",2022-02-13,125.1,"126.40","128.73","124.50","1.89M",-1.22
"321",2022-02-20,125.28,"124.31","125.44","117.94","1.38M",0.14
"322",2022-02-27,121.59,"123.78","125.28","120.41","1.17M",-2.95
"323",2022-03-06,118.9,"121.00","121.64","116.97","2.02M",-2.21
"324",2022-03-13,126.74,"119.49","126.96","118.12","1.14M",6.59
"325",2022-03-20,128.44,"126.74","128.55","125.66","817.63K",1.34
"326",2022-03-27,128.81,"128.13","131.09","127.52","1.50M",0.29
"327",2022-04-03,126.79,"128.82","129.81","125.72","764.77K",-1.57
"328",2022-04-10,124.61,"125.93","126.25","123.96","736.17K",-1.72
"329",2022-04-17,120.98,"124.09","127.47","120.85","1.51M",-2.91
"330",2022-04-24,117.42,"120.11","121.44","117.22","1.72M",-2.94
"331",2022-05-01,116.34,"117.12","121.87","114.92","1.84M",-0.92
"332",2022-05-08,114.16,"114.44","114.65","109.65","1.59M",-1.87
"333",2022-05-15,112.32,"113.81","116.17","110.16","1.20M",-1.61
"334",2022-05-22,118.67,"113.36","118.72","111.95","1.15M",5.65
"335",2022-05-29,117.41,"118.43","119.41","116.32","1.15M",-1.06
"336",2022-06-05,110.5,"118.77","119.03","110.41","919.07K",-5.89
"337",2022-06-12,104.34,"107.72","108.57","103.44","1.44M",-5.57
"338",2022-06-19,110.06,"106.08","110.06","105.31","1.19M",5.48
"339",2022-06-26,107.76,"110.50","110.99","105.48","1.48M",-2.09
"340",2022-07-03,109.25,"105.69","109.70","105.07","2.22M",1.38
"341",2022-07-10,107.79,"108.36","108.46","104.16","1.09M",-1.34
"342",2022-07-17,110.94,"108.83","112.29","107.12","843.77K",2.92
"343",2022-07-24,115.57,"111.26","115.72","109.72","1.38M",4.17
"344",2022-07-31,115.64,"115.00","116.21","114.19","856.59K",0.06
"345",2022-08-07,119.23,"116.15","119.29","114.77","1.56M",3.1
"346",2022-08-14,117.08,"118.53","120.03","116.89","1.01M",-1.8
"347",2022-08-21,112.91,"115.82","116.71","112.89","1.01M",-3.56
"348",2022-08-28,108.98,"112.11","113.00","108.43","1.01M",-3.48
"349",2022-09-04,112.9,"109.27","113.07","108.01","1.64M",3.6
"350",2022-09-11,108.01,"113.76","114.46","107.13","1.47M",-4.33
"351",2022-09-18,102.39,"106.98","108.64","101.29","1.38M",-5.2
"352",2022-09-25,99.95,"101.77","103.39"," 99.90","1.95M",-2.38
"353",2022-10-02,101.55,"100.98","105.98","100.55","1.55M",1.6
"354",2022-10-09,99.96,"101.89","103.16"," 97.44","1.99M",-1.57
"355",2022-10-16,104.28,"101.88","104.73","101.41","1.49M",4.32
