"","Date","Price","Open","High","Low","Vol.","Return"
"174",2019-04-28,1278.94,"1,286.55","1,287.38","1,266.18",NA,-0.54
"175",2019-05-05,1285.6,"1,281.19","1,291.73","1,276.85",NA,0.52
"176",2019-05-12,1277.15,"1,286.71","1,303.47","1,274.91",NA,-0.66
"177",2019-05-19,1284.65,"1,277.80","1,287.62","1,269.34",NA,0.59
"178",2019-05-26,1305.25,"1,285.80","1,307.11","1,274.82",NA,1.6
"179",2019-06-02,1340.3,"1,307.40","1,348.45","1,306.62",NA,2.69
"180",2019-06-09,1341.33,"1,335.94","1,358.40","1,319.74",NA,0.08
"181",2019-06-16,1398.65,"1,342.05","1,411.08","1,332.83",NA,4.27
"182",2019-06-23,1409.1,"1,401.35","1,438.99","1,400.21",NA,0.75
"183",2019-06-30,1399.55,"1,392.83","1,436.29","1,381.84",NA,-0.68
"184",2019-07-07,1415.49,"1,400.05","1,426.21","1,386.35",NA,1.14
"185",2019-07-14,1424.91,"1,415.75","1,452.96","1,400.18",NA,0.67
"186",2019-07-21,1418.31,"1,425.15","1,433.84","1,411.08",NA,-0.46
"187",2019-07-28,1440.45,"1,419.49","1,448.23","1,400.65",NA,1.56
"188",2019-08-04,1496.84,"1,440.65","1,510.28","1,437.03",NA,3.91
"189",2019-08-11,1513.75,"1,497.65","1,534.75","1,481.38",NA,1.13
"190",2019-08-18,1526.1,"1,511.15","1,530.11","1,491.85",NA,0.82
"191",2019-08-25,1519.85,"1,539.30","1,555.13","1,517.43",NA,-0.41
"192",2019-09-01,1506.7,"1,520.10","1,557.38","1,502.89",NA,-0.87
"193",2019-09-08,1488.45,"1,507.10","1,523.96","1,484.27",NA,-1.21
"194",2019-09-15,1516.75,"1,503.34","1,517.24","1,484.36",NA,1.9
"195",2019-09-22,1496.56,"1,516.66","1,535.85","1,487.04",NA,-1.33
"196",2019-09-29,1504.35,"1,497.07","1,518.81","1,459.00",NA,0.52
"197",2019-10-06,1489.45,"1,504.76","1,517.08","1,474.28",NA,-0.99
"198",2019-10-13,1489.7,"1,488.90","1,498.17","1,477.06",NA,0.02
"199",2019-10-20,1504.33,"1,492.02","1,518.07","1,480.87",NA,0.98
"200",2019-10-27,1513.55,"1,504.34","1,515.81","1,481.21",NA,0.61
"201",2019-11-03,1458.41,"1,513.80","1,514.97","1,456.28",NA,-3.64
"202",2019-11-10,1467.12,"1,458.96","1,474.62","1,445.61",NA,0.6
"203",2019-11-17,1462.04,"1,467.66","1,479.15","1,456.26",NA,-0.35
"204",2019-11-24,1463.9,"1,462.29","1,466.81","1,450.63",NA,0.13
"205",2019-12-01,1459.51,"1,467.03","1,484.55","1,453.91",NA,-0.3
"206",2019-12-08,1475.56,"1,459.49","1,486.95","1,458.76",NA,1.1
"207",2019-12-15,1477.95,"1,475.60","1,481.97","1,470.32",NA,0.16
"208",2019-12-22,1510.42,"1,478.20","1,515.47","1,477.51",NA,2.2
"209",2019-12-29,1551.4,"1,511.80","1,553.70","1,510.43",NA,2.71
"210",2020-01-05,1562.03,"1,561.15","1,611.15","1,540.18",NA,0.69
"211",2020-01-12,1556.22,"1,562.29","1,562.30","1,536.12",NA,-0.37
"212",2020-01-19,1570.36,"1,558.65","1,576.01","1,546.41",NA,0.91
"213",2020-01-26,1589.81,"1,580.10","1,590.21","1,563.21",NA,1.24
"214",2020-02-02,1569.91,"1,590.20","1,591.84","1,547.40",NA,-1.25
"215",2020-02-09,1584.32,"1,570.29","1,585.05","1,561.80",NA,0.92
"216",2020-02-16,1643.32,"1,584.70","1,649.15","1,578.60",NA,3.72
"217",2020-02-23,1584.74,"1,659.05","1,689.11","1,565.86",NA,-3.56
"218",2020-03-01,1673.85,"1,591.10","1,692.10","1,579.70",NA,5.62
"219",2020-03-08,1529.31,"1,694.40","1,702.96","1,506.86",NA,-8.64
