"","Date","Price","Open","High","Low","Vol.","Return"
"85",2026-05-05,482.73,"471.14","486.18","470.23","7.20M",4.47
"86",2026-05-06,506.87,"497.96","506.94","487.86","9.77M",5
"87",2026-05-07,492.36,"502.93","503.68","488.13","9.91M",-2.86
"88",2026-05-08,520.3,"504.24","520.46","502.75","7.75M",5.67
"89",2026-05-11,532.76,"524.08","533.74","521.66","7.49M",2.39
"90",2026-05-12,515.99,"520.85","525.15","495.71","14.66M",-3.15
"91",2026-05-13,528.29,"527.61","532.25","515.94","7.35M",2.38
"92",2026-05-14,530.03,"526.49","533.13","522.21","5.21M",0.33
"93",2026-05-15,508.52,"511.67","518.79","506.26","9.39M",-4.06
"94",2026-05-18,495.87,"518.02","519.96","486.92","10.00M",-2.49
"95",2026-05-19,496.74,"484.40","506.04","477.95","12.22M",0.18
"96",2026-05-20,520.31,"507.73","520.54","506.55","9.46M",4.74
"97",2026-05-21,524.71,"518.17","526.78","515.00","6.75M",0.85
"98",2026-05-22,537.33,"531.88","541.89","530.17","7.67M",2.41
"99",2026-05-26,570.09,"556.99","572.95","555.41","8.93M",6.1
"100",2026-05-27,563.98,"584.38","584.50","551.89","11.41M",-1.07
"101",2026-05-28,569.47,"564.32","575.80","554.83","6.76M",0.97
"102",2026-05-29,569.08,"576.44","582.23","564.60","7.32M",-0.07
"103",2026-06-01,571.93,"563.67","577.99","557.38","7.00M",0.5
"104",2026-06-02,605.02,"585.17","605.44","581.92","7.48M",5.79
"105",2026-06-03,615.68,"616.21","618.84","598.01","8.56M",1.76
"106",2026-06-04,602.72,"587.64","611.26","577.54","11.45M",-2.1
"107",2026-06-05,539.77,"577.86","580.50","539.57","22.38M",-10.44
"108",2026-06-08,578.7,"570.20","579.03","560.97","5.19M",7.21
